Mark,Level,SIZE,VERTICAL,TIES 1,TIES 2,TIES 3,TYPE,PSI,LAP,COUPLER,DOWELS
53,LEVEL 01,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,
54,LEVEL 01,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,
55,LEVEL 01,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,
56,LEVEL 01,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
57,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
58,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
59,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
6,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
60,LEVEL 01,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,
61,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
62,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
63,LEVEL 01,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,
64,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
64,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 05,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 06,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 07,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 08,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 09,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 10,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 11,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
64,LEVEL 12,"30"" dia",10 - #8,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
65,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
65,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
65,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
