jamb_id,tie_id,tie_type,corner 1,corner 2,corner 3,corner 4,bar_size,spacing
7,T9,Cross Tie,"[Primary Tie, Layer: 4, Grid6]","[Primary Tie, Layer: 4, Grid1]",,,,
7,T9,Cross Tie,"[Primary Tie, Layer: 3, Grid6]","[Primary Tie, Layer: 3, Grid1]",,,,
7,T9,Cross Tie,"[Primary Tie, Layer: 1, Grid5]","[Primary Tie, Layer: 2, Grid5]",,,,
7,T9,Cross Tie,"[Primary Tie, Layer: 1, Grid4]","[Primary Tie, Layer: 2, Grid4]",,,,
7,T9,Cross Tie,"[Primary Tie, Layer: 1, Grid3]","[Primary Tie, Layer: 2, Grid3]",,,,
7,T1,Close Tie,"[Primary Tie, Layer: 1, Grid6]","[Primary Tie, Layer: 2, Grid6]","[Primary Tie, Layer: 1, Grid1]","[Primary Tie, Layer: 2, Grid1]",,
